company_id,cluster_id,cluster_name,distance_from_centroid
ABB,0,Emerging Growth,0.6340677586255733
ADANIENSOL,0,Emerging Growth,1.3255996557725191
ADANIENT,0,Emerging Growth,1.3428051930417957
ADANIGREEN,3,Distressed or Turnaround,2.5125403101905444
ADANIPORTS,1,Defensive Dividend Payers,1.383143220561311
ADANIPOWER,0,Emerging Growth,1.1042388133337324
AMBUJACEM,0,Emerging Growth,1.0106022277961784
APOLLOHOSP,0,Emerging Growth,0.5336725542639621
ASIANPAINT,0,Emerging Growth,0.37199985153573406
ATGL,0,Emerging Growth,1.3474021216211316
AXISBANK,3,Distressed or Turnaround,0.8978488362662319
BAJAJ-AUTO,0,Emerging Growth,0.6392385473366085
BAJAJFINSV,3,Distressed or Turnaround,1.024991543725889
BAJAJHLDNG,1,Defensive Dividend Payers,2.443849179497153
BAJFINANCE,3,Distressed or Turnaround,1.6037457289077355
BANKBARODA,3,Distressed or Turnaround,1.8018852116205988
BEL,2,Value Cyclicals,0.7605986385857777
BHARTIARTL,1,Defensive Dividend Payers,1.2837494948784351
BHEL,0,Emerging Growth,2.3855993716116415
BOSCHLTD,0,Emerging Growth,0.956416376565142
BPCL,0,Emerging Growth,0.5317771420549701
BRITANNIA,0,Emerging Growth,1.6024687807238944
CANBK,3,Distressed or Turnaround,2.705309675621509
CHOLAFIN,3,Distressed or Turnaround,0.9222597514502879
CIPLA,4,High-Quality Compounders,0.0
COALINDIA,1,Defensive Dividend Payers,1.125420344275548
DABUR,0,Emerging Growth,0.8808798538436486
DIVISLAB,0,Emerging Growth,0.7617937198568658
DLF,0,Emerging Growth,2.4486226638306925
DMART,0,Emerging Growth,1.3322992544981687
DRREDDY,0,Emerging Growth,1.2477154185627004
EICHERMOT,0,Emerging Growth,0.5033017610056522
GAIL,0,Emerging Growth,0.3581078827452135
GODREJCP,0,Emerging Growth,0.6882500362656117
GRASIM,0,Emerging Growth,0.7736334112707017
HAL,2,Value Cyclicals,0.760598638585773
HAVELLS,0,Emerging Growth,0.9258234629723637
HCLTECH,0,Emerging Growth,0.47042808789619384
HDFCBANK,3,Distressed or Turnaround,0.5900606240178794
HDFCLIFE,1,Defensive Dividend Payers,1.3501803542974493
HEROMOTOCO,1,Defensive Dividend Payers,1.709099157201228
HINDALCO,1,Defensive Dividend Payers,0.6128591957067894
HINDUNILVR,1,Defensive Dividend Payers,0.7319648860503398
ICICIBANK,3,Distressed or Turnaround,0.575010363735747
ICICIGI,1,Defensive Dividend Payers,0.7474370568927693
ICICIPRULI,1,Defensive Dividend Payers,2.280444878995616
INDIGO,1,Defensive Dividend Payers,2.434602099303771
INDUSINDBK,3,Distressed or Turnaround,0.6618357076888439
INFY,0,Emerging Growth,0.3726715839768594
IOC,0,Emerging Growth,0.5826187728734249
IRCTC,0,Emerging Growth,1.3420603074277064
IRFC,3,Distressed or Turnaround,1.8489738144789138
ITC,0,Emerging Growth,0.8938738969188111
JINDALSTEL,0,Emerging Growth,1.363400149738139
JIOFIN,1,Defensive Dividend Payers,0.8387795356826596
JSWENERGY,0,Emerging Growth,1.396633608650378
JSWSTEEL,0,Emerging Growth,0.6224036219186323
KOTAKBANK,1,Defensive Dividend Payers,1.3486219859126165
LICI,0,Emerging Growth,2.088793268779781
LODHA,0,Emerging Growth,2.1097399225707845
LT,0,Emerging Growth,0.7703418922435464
LTIM,0,Emerging Growth,2.6258705342960114
M&M,0,Emerging Growth,0.8377315156613473
MARUTI,0,Emerging Growth,0.3385724076587757
MOTHERSON,0,Emerging Growth,0.6268240761920466
NAUKRI,0,Emerging Growth,0.8769537490761639
NESTLEIND,0,Emerging Growth,0.5681122124931635
NHPC,0,Emerging Growth,2.008376079162603
NTPC,0,Emerging Growth,0.47846594950700133
ONGC,0,Emerging Growth,0.6021524615181616
PFC,3,Distressed or Turnaround,1.2802355286746578
PIDILITIND,0,Emerging Growth,0.4667277466478733
PNB,3,Distressed or Turnaround,1.3738626438465205
POWERGRID,1,Defensive Dividend Payers,1.5284895763767155
RECLTD,3,Distressed or Turnaround,2.027296535440445
RELIANCE,0,Emerging Growth,0.2494474567610223
SBILIFE,0,Emerging Growth,2.0036041223947088
SBIN,0,Emerging Growth,1.9256134619475787
SHREECEM,0,Emerging Growth,0.28297275038617936
SHRIRAMFIN,3,Distressed or Turnaround,1.3881026169320125
SIEMENS,0,Emerging Growth,1.415348739133755
SUNPHARMA,0,Emerging Growth,1.1101073636126157
TATACONSUM,0,Emerging Growth,1.716245186064626
TATAMOTORS,0,Emerging Growth,0.5879733490535741
TATAPOWER,0,Emerging Growth,0.8366439355800906
TATASTEEL,0,Emerging Growth,0.6200206384180548
TCS,0,Emerging Growth,0.3488330481766003
TECHM,0,Emerging Growth,0.6218330643435709
TITAN,0,Emerging Growth,1.496769604429675
TORNTPHARM,0,Emerging Growth,0.7569527814696533
TRENT,0,Emerging Growth,3.4148667144534666
TVSMOTOR,0,Emerging Growth,1.2121464040390788
