metric,P10,P25,P50,P75,P90,Mean,Std
net_profit_margin_pct,4.619000000000001,7.245,14.120000000000001,20.347499999999997,29.244000000000003,20.00375,45.19097451113977
operating_profit_margin_pct,10.143999999999998,17.065,26.765,41.75,84.00300000000001,35.3941304347826,26.883036325770384
return_on_equity_pct,8.386,11.73,15.795,25.927500000000002,47.969000000000015,122.66239130434779,633.7447384897564
debt_to_equity,0.010999999999999996,0.057499999999999996,0.445,1.6424999999999998,6.447,1.7023369565217394,2.859919161530154
interest_coverage,1.692,3.0425,11.3,57.97,190.5030000000001,124.7655434782609,483.4401361768946
asset_turnover,0.072,0.2075,0.62,1.1324999999999998,1.6560000000000001,3.465108695652174,15.764812291348795
free_cash_flow_cr,-14435.1,-1514.5,1068.5,8348.5,20412.2,757.6413043478261,23072.12482609269
revenue_cagr_5yr,5.901,8.46,12.030000000000001,17.3075,20.963,12.938369565217393,7.330383447562229
pat_cagr_5yr,4.866999999999999,10.3425,15.51,23.31875,35.576000000000036,19.80586956521739,19.62927599680192
eps_cagr_5yr,4.695999999999999,9.447500000000002,14.579999999999998,20.23,29.901000000000003,17.65380434782609,17.704977746844097
