company_id,from_year,to_year,from_pattern,to_pattern
ADANIENSOL,2014.0,2015,Balanced,Distress Signal
ADANIENSOL,2015.0,2016,Distress Signal,Deleverager
ADANIENSOL,2017.0,2018,Deleverager,Reinvestor
ADANIENSOL,2020.0,2021,Reinvestor,Deleverager
ADANIENSOL,2022.0,2023,Deleverager,Reinvestor
ADANIENSOL,2023.0,2024,Reinvestor,Deleverager
ADANIENT,2013.0,2014,Reinvestor,Deleverager
ADANIENT,2014.0,2015,Deleverager,Reinvestor
ADANIENT,2015.0,2016,Reinvestor,Deleverager
ADANIENT,2016.0,2017,Deleverager,Reinvestor
ADANIENT,2018.0,2019,Reinvestor,Shareholder Returns
ADANIENT,2019.0,2020,Shareholder Returns,Deleverager
ADANIENT,2020.0,2021,Deleverager,Reinvestor
ADANIENT,2022.0,2023,Reinvestor,Deleverager
ADANIENT,2023.0,2024,Deleverager,Reinvestor
ADANIGREEN,2022.0,2023,Reinvestor,Deleverager
ADANIGREEN,2023.0,2024,Deleverager,Reinvestor
ADANIPORTS,2014.0,2015,Reinvestor,Deleverager
ADANIPORTS,2015.0,2016,Deleverager,Reinvestor
ADANIPORTS,2016.0,2017,Reinvestor,Deleverager
ADANIPORTS,2018.0,2019,Deleverager,Reinvestor
ADANIPORTS,2019.0,2020,Reinvestor,Deleverager
ADANIPORTS,2020.0,2021,Deleverager,Reinvestor
ADANIPORTS,2021.0,2022,Reinvestor,Deleverager
ADANIPOWER,2014.0,2015,Reinvestor,Deleverager
ADANIPOWER,2021.0,2022,Deleverager,Shareholder Returns
AMBUJACEM,2021.0,2023,Deleverager,Reinvestor
APOLLOHOSP,2013.0,2014,Reinvestor,Deleverager
APOLLOHOSP,2014.0,2015,Deleverager,Reinvestor
APOLLOHOSP,2017.0,2018,Reinvestor,Deleverager
AXISBANK,2014.0,2015,Reinvestor,Distress Signal
AXISBANK,2016.0,2017,Distress Signal,Deleverager
AXISBANK,2017.0,2018,Deleverager,Distress Signal
AXISBANK,2018.0,2019,Distress Signal,Reinvestor
AXISBANK,2023.0,2024,Reinvestor,Distress Signal
BAJAJ-AUTO,2019.0,2020,Deleverager,Shareholder Returns
BAJAJ-AUTO,2020.0,2021,Shareholder Returns,Deleverager
BAJAJ-AUTO,2021.0,2022,Deleverager,Shareholder Returns
BAJAJ-AUTO,2023.0,2024,Shareholder Returns,Deleverager
BAJAJFINSV,2020.0,2021,Distress Signal,Reinvestor
BAJAJFINSV,2021.0,2022,Reinvestor,Distress Signal
BAJAJHLDNG,2015.0,2016,Deleverager,Shareholder Returns
BAJAJHLDNG,2016.0,2017,Shareholder Returns,Cash Burner
BAJAJHLDNG,2017.0,2018,Cash Burner,Deleverager
BANKBARODA,2013.0,2014,Deleverager,Reinvestor
BANKBARODA,2014.0,2015,Reinvestor,Deleverager
